GEO_ID,NAME,B19013_001E,B19013_001M
id,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)
0500000US06075,"San Francisco County, California",104552,1533
0500000US17019,"Champaign County, Illinois",51692,1225
0500000US20001,"Allen County, Kansas",42679,2726
0500000US21153,"Magoffin County, Kentucky",29516,3679
0500000US06111,"Ventura County, California",84017,1199
0500000US05023,"Cleburne County, Arkansas",43391,3877
0500000US49005,"Cache County, Utah",56840,1332
0500000US17097,"Lake County, Illinois",86244,1199
0500000US13167,"Johnson County, Georgia",39813,3957
0500000US31047,"Dawson County, Nebraska",53769,3035
0500000US05091,"Miller County, Arkansas",41903,1899
0500000US48033,"Borden County, Texas",81985,13787
0500000US56039,"Teton County, Wyoming",83831,5822
0500000US20055,"Finney County, Kansas",56573,3623
0500000US12017,"Citrus County, Florida",41424,1281
0500000US17003,"Alexander County, Illinois",34709,3017
0500000US19169,"Story County, Iowa",54554,1755
0500000US19111,"Lee County, Iowa",48571,2923
0500000US26135,"Oscoda County, Michigan",40255,2033
0500000US13273,"Terrell County, Georgia",38015,4507
0500000US17197,"Will County, Illinois",83504,820
0500000US48139,"Ellis County, Texas",72213,2151
0500000US27079,"Le Sueur County, Minnesota",67451,2240
0500000US29171,"Putnam County, Missouri",37367,6347
0500000US13021,"Bibb County, Georgia",39931,1562
0500000US31103,"Keya Paha County, Nebraska",49688,8103
0500000US48279,"Lamb County, Texas",43396,2336
0500000US72003,"Aguada Municipio, Puerto Rico",16347,1084
0500000US47085,"Humphreys County, Tennessee",41510,2808
0500000US06069,"San Benito County, California",81977,4226
0500000US28121,"Rankin County, Mississippi",64557,1536
0500000US33011,"Hillsborough County, New Hampshire",78655,1474
0500000US02230,"Skagway Municipality, Alaska",72237,5731
0500000US13311,"White County, Georgia",46288,3932
0500000US20169,"Saline County, Kansas",50515,1520
0500000US16015,"Boise County, Idaho",53942,8200
0500000US38033,"Golden Valley County, North Dakota",56087,7093
0500000US05063,"Independence County, Arkansas",43523,2344
0500000US20201,"Washington County, Kansas",48889,3196
0500000US19179,"Wapello County, Iowa",45233,2444
0500000US21165,"Menifee County, Kentucky",39905,4718
0500000US48045,"Briscoe County, Texas",42647,6885
0500000US47145,"Roane County, Tennessee",50003,2966
0500000US21205,"Rowan County, Kentucky",37639,3489
0500000US51177,"Spotsylvania County, Virginia",85330,1869
0500000US29083,"Henry County, Missouri",43911,3276
0500000US02050,"Bethel Census Area, Alaska",54212,2972
0500000US17009,"Brown County, Illinois",58762,2302
0500000US12079,"Madison County, Florida",35509,2374
0500000US51067,"Franklin County, Virginia",52639,3185
0500000US46019,"Butte County, South Dakota",44387,3125
0500000US38103,"Wells County, North Dakota",57989,4204
0500000US21155,"Marion County, Kentucky",38544,2955
0500000US19053,"Decatur County, Iowa",42614,2685
0500000US29089,"Howard County, Missouri",50372,4014
0500000US30101,"Toole County, Montana",46823,8928
0500000US46037,"Day County, South Dakota",44145,4386
0500000US21099,"Hart County, Kentucky",37795,2962
0500000US37127,"Nash County, North Carolina",48362,1981
0500000US13053,"Chattahoochee County, Georgia",46453,5902
0500000US37141,"Pender County, North Carolina",52989,2271
0500000US72085,"Las Piedras Municipio, Puerto Rico",21792,1810
0500000US46033,"Custer County, South Dakota",55472,6020
0500000US26141,"Presque Isle County, Michigan",46439,2090
0500000US28027,"Coahoma County, Mississippi",30009,3835
0500000US37029,"Camden County, North Carolina",63349,7120
0500000US13281,"Towns County, Georgia",43927,4762
0500000US38037,"Grant County, North Dakota",50962,5972
0500000US29109,"Lawrence County, Missouri",43373,1729
0500000US37169,"Stokes County, North Carolina",46169,2190
0500000US37019,"Brunswick County, North Carolina",54406,1519
0500000US04013,"Maricopa County, Arizona",61606,305
0500000US20091,"Johnson County, Kansas",84915,913
0500000US39071,"Highland County, Ohio",43297,2828
0500000US31099,"Kearney County, Nebraska",56952,5395
0500000US06037,"Los Angeles County, California",64251,247
0500000US48249,"Jim Wells County, Texas",42005,5407
0500000US46049,"Faulk County, South Dakota",53889,8490
0500000US36115,"Washington County, New York",54114,2455
0500000US54097,"Upshur County, West Virginia",40401,2606
0500000US47091,"Johnson County, Tennessee",34151,3356
0500000US36021,"Columbia County, New York",63032,2254
0500000US51139,"Page County, Virginia",47951,3979
0500000US05035,"Crittenden County, Arkansas",39002,3326
0500000US08051,"Gunnison County, Colorado",54979,3938
0500000US27149,"Stevens County, Minnesota",58363,3753
0500000US29099,"Jefferson County, Missouri",63030,1317
0500000US27103,"Nicollet County, Minnesota",65027,3205
0500000US22025,"Catahoula Parish, Louisiana",38854,7020
0500000US47119,"Maury County, Tennessee",54249,1751
0500000US13127,"Glynn County, Georgia",50672,2016
0500000US40053,"Grant County, Oklahoma",56287,5602
0500000US19101,"Jefferson County, Iowa",43378,3950
0500000US19029,"Cass County, Iowa",48178,3562
0500000US08099,"Prowers County, Colorado",40097,2720
0500000US24045,"Wicomico County, Maryland",56608,1832
0500000US51115,"Mathews County, Virginia",67009,9029
0500000US21111,"Jefferson County, Kentucky",54357,556
0500000US48159,"Franklin County, Texas",52944,6279
0500000US08041,"El Paso County, Colorado",65334,786
0500000US31121,"Merrick County, Nebraska",54197,3897
0500000US06103,"Tehama County, California",42899,2347
0500000US39129,"Pickaway County, Ohio",62214,2959
0500000US17151,"Pope County, Illinois",40671,11198
0500000US54105,"Wirt County, West Virginia",40189,3985
0500000US12091,"Okaloosa County, Florida",62048,1837
0500000US21151,"Madison County, Kentucky",48687,2335
0500000US37115,"Madison County, North Carolina",42410,2842
0500000US01133,"Winston County, Alabama",38504,3600
0500000US29187,"St. Francois County, Missouri",45774,2067
0500000US54047,"McDowell County, West Virginia",26547,1915
0500000US37107,"Lenoir County, North Carolina",38387,2001
0500000US31085,"Hayes County, Nebraska",45515,6828
0500000US31177,"Washington County, Nebraska",70753,3504
0500000US55123,"Vernon County, Wisconsin",50905,1864
0500000US01077,"Lauderdale County, Alabama",46265,1490
0500000US19087,"Henry County, Iowa",52428,2594
0500000US40025,"Cimarron County, Oklahoma",46071,7925
0500000US13159,"Jasper County, Georgia",43284,5147
0500000US50013,"Grand Isle County, Vermont",69583,5812
0500000US51131,"Northampton County, Virginia",43553,4273
0500000US47167,"Tipton County, Tennessee",60167,2829
0500000US28013,"Calhoun County, Mississippi",36440,1772
0500000US26057,"Gratiot County, Michigan",44991,1870
0500000US20167,"Russell County, Kansas",52806,3252
0500000US47073,"Hawkins County, Tennessee",40335,1942
0500000US48441,"Taylor County, Texas",50818,1577
0500000US20125,"Montgomery County, Kansas",45173,2772
0500000US19015,"Boone County, Iowa",61111,2181
0500000US54075,"Pocahontas County, West Virginia",39702,3485
0500000US01083,"Limestone County, Alabama",56460,3118
0500000US35027,"Lincoln County, New Mexico",42267,6929
0500000US27073,"Lac qui Parle County, Minnesota",52199,1651
0500000US49049,"Utah County, Utah",70408,818
0500000US27101,"Murray County, Minnesota",57500,3537
0500000US02275,"Wrangell City and Borough, Alaska",57583,7200
0500000US01107,"Pickens County, Alabama",37458,3062
0500000US17165,"Saline County, Illinois",41167,2422
0500000US48117,"Deaf Smith County, Texas",51841,4192
0500000US39121,"Noble County, Ohio",47456,7439
0500000US38007,"Billings County, North Dakota",92604,36319
0500000US54063,"Monroe County, West Virginia",36493,3240
0500000US35047,"San Miguel County, New Mexico",31660,1787
0500000US27139,"Scott County, Minnesota",97744,2857
0500000US26011,"Arenac County, Michigan",40769,1245
0500000US18021,"Clay County, Indiana",53021,2294
0500000US31185,"York County, Nebraska",59779,3810
0500000US22115,"Vernon Parish, Louisiana",47772,1438
0500000US02100,"Haines Borough, Alaska",64342,19415
0500000US48437,"Swisher County, Texas",38418,3110
0500000US13139,"Hall County, Georgia",59898,1521
0500000US29031,"Cape Girardeau County, Missouri",51730,1820
0500000US05099,"Nevada County, Arkansas",37635,4786
0500000US54045,"Logan County, West Virginia",38123,3369
0500000US40149,"Washita County, Oklahoma",52510,3096
0500000US72039,"Ciales Municipio, Puerto Rico",15071,1581
0500000US53065,"Stevens County, Washington",49200,2238
0500000US49029,"Morgan County, Utah",89274,3473
0500000US46045,"Edmunds County, South Dakota",68551,6408
0500000US21033,"Caldwell County, Kentucky",44940,6440
0500000US18011,"Boone County, Indiana",80567,3143
0500000US31163,"Sherman County, Nebraska",51172,3803
0500000US16057,"Latah County, Idaho",45466,2349
0500000US48153,"Floyd County, Texas",48555,5620
0500000US16051,"Jefferson County, Idaho",60162,2732
0500000US37123,"Montgomery County, North Carolina",42346,3473
0500000US48099,"Coryell County, Texas",51440,1688
0500000US20067,"Grant County, Kansas",55455,9500
0500000US20021,"Cherokee County, Kansas",41103,3275
0500000US47061,"Grundy County, Tennessee",36987,3287
0500000US47079,"Henry County, Tennessee",40837,1768
0500000US53043,"Lincoln County, Washington",50744,3332
0500000US30013,"Cascade County, Montana",48160,1419
0500000US13075,"Cook County, Georgia",38408,4274
0500000US41015,"Curry County, Oregon",46396,3602
0500000US13051,"Chatham County, Georgia",54911,1174
0500000US34003,"Bergen County, New Jersey",95837,998
0500000US21173,"Montgomery County, Kentucky",41974,3330
0500000US13309,"Wheeler County, Georgia",27626,4900
0500000US28091,"Marion County, Mississippi",31446,1825
0500000US51580,"Covington city, Virginia",39432,3798
0500000US51087,"Henrico County, Virginia",68572,1482
0500000US18075,"Jay County, Indiana",44772,3006
0500000US51059,"Fairfax County, Virginia",121133,1144
0500000US48027,"Bell County, Texas",54184,815
0500000US13029,"Bryan County, Georgia",71322,6076
0500000US37145,"Person County, North Carolina",48811,2286
0500000US37099,"Jackson County, North Carolina",44028,2589
0500000US28157,"Wilkinson County, Mississippi",26599,2999
0500000US06045,"Mendocino County, California",49233,2356
0500000US53021,"Franklin County, Washington",62002,2233
0500000US29003,"Andrew County, Missouri",55683,5167
0500000US51720,"Norton city, Virginia",28071,6418
0500000US48179,"Gray County, Texas",47170,4894
0500000US48095,"Concho County, Texas",43355,9282
0500000US25011,"Franklin County, Massachusetts",59522,1827
0500000US21071,"Floyd County, Kentucky",31267,2458
0500000US01045,"Dale County, Alabama",45960,2816
0500000US06025,"Imperial County, California",45834,1861
0500000US13033,"Burke County, Georgia",42773,2338
0500000US22071,"Orleans Parish, Louisiana",39576,882
0500000US06021,"Glenn County, California",47395,3209
0500000US30055,"McCone County, Montana",47500,4323
0500000US48037,"Bowie County, Texas",47505,2075
0500000US02158,"Kusilvak Census Area, Alaska",35539,3260
0500000US01079,"Lawrence County, Alabama",44515,2491
0500000US01061,"Geneva County, Alabama",38142,3168
0500000US29189,"St. Louis County, Missouri",65300,787
0500000US54013,"Calhoun County, West Virginia",37610,4796
0500000US21141,"Logan County, Kentucky",43842,3368
0500000US38081,"Sargent County, North Dakota",67200,6337
0500000US27017,"Carlton County, Minnesota",60390,2897
0500000US22043,"Grant Parish, Louisiana",40792,2359
0500000US41005,"Clackamas County, Oregon",76597,1050
0500000US05015,"Carroll County, Arkansas",43505,2576
0500000US12105,"Polk County, Florida",48500,709
0500000US22005,"Ascension Parish, Louisiana",76589,3279
0500000US16049,"Idaho County, Idaho",39113,3527
0500000US22069,"Natchitoches Parish, Louisiana",27795,1572
0500000US08003,"Alamosa County, Colorado",39191,4112
0500000US51550,"Chesapeake city, Virginia",75790,1575
0500000US46085,"Lyman County, South Dakota",53263,2802
0500000US27001,"Aitkin County, Minnesota",45989,2244
0500000US55073,"Marathon County, Wisconsin",59543,1425
0500000US45017,"Calhoun County, South Carolina",44534,3898
0500000US51810,"Virginia Beach city, Virginia",74186,953
0500000US53009,"Clallam County, Washington",49913,1998
0500000US72035,"Cayey Municipio, Puerto Rico",21320,1445
0500000US55065,"Lafayette County, Wisconsin",59629,1865
0500000US21197,"Powell County, Kentucky",36958,3537
0500000US20023,"Cheyenne County, Kansas",46833,4595
0500000US13237,"Putnam County, Georgia",51245,4303
0500000US45027,"Clarendon County, South Carolina",37525,1954
0500000US19195,"Worth County, Iowa",54329,3368
0500000US51013,"Arlington County, Virginia",117374,2067
0500000US55127,"Walworth County, Wisconsin",61106,1402
0500000US18067,"Howard County, Indiana",50869,1938
0500000US27013,"Blue Earth County, Minnesota",55861,1830
0500000US45029,"Colleton County, South Carolina",36276,1090
0500000US22127,"Winn Parish, Louisiana",35398,6284
0500000US72075,"Juana D�az Municipio, Puerto Rico",20845,998
0500000US54019,"Fayette County, West Virginia",40379,2019
0500000US47053,"Gibson County, Tennessee",41886,2158
0500000US08015,"Chaffee County, Colorado",54580,3158
0500000US13201,"Miller County, Georgia",42927,5168
0500000US20177,"Shawnee County, Kansas",55199,1505
0500000US05059,"Hot Spring County, Arkansas",41262,1831
0500000US42111,"Somerset County, Pennsylvania",48224,1132
0500000US39099,"Mahoning County, Ohio",44682,915
0500000US45041,"Florence County, South Carolina",45479,1634
0500000US48405,"San Augustine County, Texas",35509,5831
0500000US16055,"Kootenai County, Idaho",54457,1455
0500000US17111,"McHenry County, Illinois",84803,1730
0500000US01027,"Clay County, Alabama",41225,4334
0500000US05049,"Fulton County, Arkansas",36184,3839
0500000US19113,"Linn County, Iowa",64862,1320
0500000US36121,"Wyoming County, New York",57914,1921
0500000US05027,"Columbia County, Arkansas",36148,2798
0500000US30077,"Powell County, Montana",49652,6510
0500000US22101,"St. Mary Parish, Louisiana",40485,1543
0500000US48487,"Wilbarger County, Texas",48773,6797
0500000US37023,"Burke County, North Carolina",42516,2114
0500000US56019,"Johnson County, Wyoming",55991,7320
0500000US27135,"Roseau County, Minnesota",59644,2194
0500000US17119,"Madison County, Illinois",57890,1377
0500000US48169,"Garza County, Texas",55039,14840
0500000US53047,"Okanogan County, Washington",45808,1529
0500000US27081,"Lincoln County, Minnesota",52301,1892
0500000US21209,"Scott County, Kentucky",66966,2789
0500000US48453,"Travis County, Texas",71767,823
0500000US34019,"Hunterdon County, New Jersey",112535,2409
0500000US29009,"Barry County, Missouri",41463,1911
0500000US51183,"Sussex County, Virginia",45801,3896
0500000US20181,"Sherman County, Kansas",52847,5234
0500000US72055,"Gu�nica Municipio, Puerto Rico",13242,846
0500000US20015,"Butler County, Kansas",63272,2187
0500000US42033,"Clearfield County, Pennsylvania",47270,1523
0500000US21113,"Jessamine County, Kentucky",56728,3760
0500000US01085,"Lowndes County, Alabama",30833,3373
0500000US13269,"Taylor County, Georgia",33442,4449
0500000US19135,"Monroe County, Iowa",49549,7537
0500000US48235,"Irion County, Texas",54706,15653
0500000US51029,"Buckingham County, Virginia",46261,4573
0500000US48113,"Dallas County, Texas",56854,391
0500000US31157,"Scotts Bluff County, Nebraska",50157,2056
0500000US55017,"Chippewa County, Wisconsin",57288,1687
0500000US17117,"Macoupin County, Illinois",53778,2295
0500000US35043,"Sandoval County, New Mexico",59420,1750
0500000US20007,"Barber County, Kansas",50613,5019
0500000US28113,"Pike County, Mississippi",30910,1794
0500000US47137,"Pickett County, Tennessee",41004,2965
0500000US49027,"Millard County, Utah",60445,4020
0500000US49007,"Carbon County, Utah",50278,2066
0500000US36123,"Yates County, New York",54343,3383
0500000US28111,"Perry County, Mississippi",39007,8024
0500000US21043,"Carter County, Kentucky",33067,2513
0500000US17007,"Boone County, Illinois",66898,4955
0500000US48241,"Jasper County, Texas",46088,4446
0500000US48389,"Reeves County, Texas",58384,6808
0500000US54005,"Boone County, West Virginia",38642,3787
0500000US41053,"Polk County, Oregon",58344,2074
0500000US37151,"Randolph County, North Carolina",45006,1400
0500000US26017,"Bay County, Michigan",48005,1473
0500000US39055,"Geauga County, Ohio",79956,2923
0500000US26051,"Gladwin County, Michigan",43290,1368
0500000US55077,"Marquette County, Wisconsin",49586,1527
0500000US13267,"Tattnall County, Georgia",38034,2534
0500000US16011,"Bingham County, Idaho",51288,1923
0500000US21067,"Fayette County, Kentucky",54918,1106
0500000US55039,"Fond du Lac County, Wisconsin",59373,1270
0500000US24035,"Queen Anne's County, Maryland",92167,4671
0500000US12023,"Columbia County, Florida",44491,3128
0500000US72011,"A�asco Municipio, Puerto Rico",19379,1533
0500000US40151,"Woods County, Oklahoma",56899,6071
0500000US72101,"Morovis Municipio, Puerto Rico",20589,1205
0500000US25005,"Bristol County, Massachusetts",66157,880
0500000US34029,"Ocean County, New Jersey",68021,975
0500000US36065,"Oneida County, New York",53844,871
0500000US26153,"Schoolcraft County, Michigan",40747,2495
0500000US32005,"Douglas County, Nevada",62503,1960
0500000US18063,"Hendricks County, Indiana",78355,1631
0500000US27019,"Carver County, Minnesota",97895,2694
0500000US39153,"Summit County, Ohio",55448,840
0500000US22119,"Webster Parish, Louisiana",30358,1979
0500000US39027,"Clinton County, Ohio",51354,2321
0500000US30065,"Musselshell County, Montana",41612,4567
0500000US38067,"Pembina County, North Dakota",64962,3462
0500000US37087,"Haywood County, North Carolina",49800,2357
0500000US49023,"Juab County, Utah",62237,2320
0500000US51197,"Wythe County, Virginia",48043,2922
0500000US45025,"Chesterfield County, South Carolina",40033,2434
0500000US08117,"Summit County, Colorado",77589,4772
0500000US29197,"Schuyler County, Missouri",39697,2475
0500000US17067,"Hancock County, Illinois",51549,2030
0500000US31101,"Keith County, Nebraska",48901,2605
0500000US54093,"Tucker County, West Virginia",45655,3125
0500000US47069,"Hardeman County, Tennessee",38651,3755
0500000US20013,"Brown County, Kansas",48547,3785
0500000US01055,"Etowah County, Alabama",44023,1776
0500000US24037,"St. Mary's County, Maryland",90438,3303
0500000US28045,"Hancock County, Mississippi",47543,4617
0500000US30071,"Phillips County, Montana",46222,5649
0500000US48423,"Smith County, Texas",53511,1452
0500000US72021,"Bayam�n Municipio, Puerto Rico",26017,774
0500000US51590,"Danville city, Virginia",36301,2104
0500000US17161,"Rock Island County, Illinois",52630,1218
0500000US51155,"Pulaski County, Virginia",52638,1998
0500000US48251,"Johnson County, Texas",62066,2041
0500000US48379,"Rains County, Texas",49872,3879
0500000US51685,"Manassas Park city, Virginia",80667,7690
